CMDLINE E:\annaconda\python.exe no_mask_train.py
MEM 223.511719 1642041416.0471
MEM 222.371094 1642041416.1571
MEM 209.382812 1642041416.2692
MEM 205.488281 1642041416.3812
MEM 187.542969 1642041416.4932
MEM 161.281250 1642041416.6052
MEM 180.839844 1642041416.7173
MEM 187.382812 1642041416.8293
MEM 161.277344 1642041416.9413
MEM 161.281250 1642041417.0533
MEM 165.000000 1642041417.1654
MEM 177.800781 1642041417.2774
MEM 178.851562 1642041417.3894
MEM 187.710938 1642041417.5014
MEM 197.128906 1642041417.6135
MEM 187.031250 1642041417.7255
MEM 188.617188 1642041417.8375
MEM 202.507812 1642041417.9495
MEM 212.347656 1642041418.0616
MEM 218.507812 1642041418.1736
MEM 222.851562 1642041418.2836
MEM 222.839844 1642041418.3956
MEM 204.496094 1642041418.5077
MEM 171.054688 1642041418.6197
MEM 194.746094 1642041418.7317
MEM 173.644531 1642041418.8418
MEM 161.562500 1642041418.9538
MEM 161.406250 1642041419.0658
MEM 168.820312 1642041419.1778
MEM 177.250000 1642041419.2899
MEM 178.714844 1642041419.4019
MEM 187.343750 1642041419.5139
MEM 188.222656 1642041419.6259
MEM 182.347656 1642041419.7380
MEM 187.652344 1642041419.8500
MEM 197.660156 1642041419.9600
MEM 198.769531 1642041420.0720
MEM 208.019531 1642041420.1841
MEM 208.750000 1642041420.2961
MEM 217.628906 1642041420.4081
MEM 219.750000 1642041420.5201
MEM 218.687500 1642041420.6322
MEM 216.402344 1642041420.7402
MEM 217.968750 1642041420.8502
MEM 222.046875 1642041420.9622
MEM 204.777344 1642041421.0723
MEM 203.714844 1642041421.1843
MEM 173.761719 1642041421.2963
MEM 161.093750 1642041421.4083
MEM 161.519531 1642041421.5204
MEM 161.523438 1642041421.6324
MEM 171.476562 1642041421.7404
MEM 171.281250 1642041421.8484
MEM 164.019531 1642041421.9555
MEM 161.808594 1642041422.0625
MEM 167.003906 1642041422.1705
MEM 169.578125 1642041422.2775
MEM 177.679688 1642041422.3846
MEM 187.675781 1642041422.4926
MEM 188.226562 1642041422.5996
MEM 181.402344 1642041422.7066
MEM 179.054688 1642041422.8147
MEM 181.437500 1642041422.9217
MEM 177.769531 1642041423.0287
MEM 176.640625 1642041423.1367
MEM 186.550781 1642041423.2438
MEM 187.746094 1642041423.3508
MEM 198.210938 1642041423.4588
MEM 199.171875 1642041423.5658
