CMDLINE E:\annaconda\python.exe no_mask_train.py
MEM 169.265625 1642041715.0057
MEM 167.125000 1642041715.1138
MEM 163.652344 1642041715.2208
MEM 167.453125 1642041715.3278
MEM 169.265625 1642041715.4358
MEM 163.640625 1642041715.5429
MEM 167.453125 1642041715.6499
MEM 165.394531 1642041715.7579
MEM 165.687500 1642041715.8649
MEM 166.398438 1642041715.9719
MEM 163.640625 1642041716.0800
MEM 168.144531 1642041716.1870
MEM 164.101562 1642041716.2940
MEM 163.652344 1642041716.4020
MEM 168.781250 1642041716.5091
MEM 164.488281 1642041716.6161
MEM 163.640625 1642041716.7241
MEM 167.453125 1642041716.8311
MEM 165.289062 1642041716.9382
MEM 163.652344 1642041717.0462
MEM 167.925781 1642041717.1533
MEM 163.640625 1642041717.2603
MEM 163.640625 1642041717.3683
MEM 165.804688 1642041717.4753
MEM 167.453125 1642041717.5824
MEM 168.277344 1642041717.6904
MEM 164.085938 1642041717.7964
MEM 163.640625 1642041717.9084
MEM 167.453125 1642041718.0205
MEM 167.535156 1642041718.1315
MEM 165.417969 1642041718.2405
MEM 163.707031 1642041718.3525
MEM 163.652344 1642041718.4646
MEM 169.265625 1642041718.5746
MEM 169.265625 1642041718.6866
MEM 167.066406 1642041718.7976
MEM 165.261719 1642041718.9067
MEM 163.640625 1642041719.0187
MEM 166.589844 1642041719.1287
MEM 164.183594 1642041719.2387
MEM 163.707031 1642041719.3508
MEM 163.652344 1642041719.4628
MEM 168.781250 1642041719.5748
MEM 164.703125 1642041719.6868
MEM 163.640625 1642041719.7979
MEM 163.988281 1642041719.9089
MEM 167.949219 1642041720.0210
MEM 164.867188 1642041720.1330
MEM 163.707031 1642041720.2450
MEM 163.652344 1642041720.3570
MEM 167.453125 1642041720.4691
MEM 165.234375 1642041720.5791
MEM 163.640625 1642041720.6912
MEM 167.222656 1642041720.8032
MEM 163.652344 1642041720.9152
MEM 163.652344 1642041721.0273
MEM 166.195312 1642041721.1373
MEM 165.261719 1642041721.2493
MEM 165.699219 1642041721.3594
MEM 163.691406 1642041721.4714
MEM 163.640625 1642041721.5834
MEM 163.652344 1642041721.6954
MEM 169.265625 1642041721.8075
MEM 164.101562 1642041721.9195
MEM 164.078125 1642041722.0295
MEM 168.730469 1642041722.1416
MEM 164.085938 1642041722.2536
MEM 164.085938 1642041722.3656
MEM 163.691406 1642041722.4756
MEM 163.691406 1642041722.5857
MEM 167.949219 1642041722.6977
MEM 164.843750 1642041722.8097
MEM 165.601562 1642041722.9217
MEM 163.652344 1642041723.0338
MEM 164.062500 1642041723.1458
MEM 163.652344 1642041723.2578
MEM 169.265625 1642041723.3699
MEM 167.535156 1642041723.4819
MEM 167.171875 1642041723.5939
MEM 163.691406 1642041723.7059
MEM 163.640625 1642041723.8179
MEM 167.453125 1642041723.9280
MEM 169.265625 1642041724.0370
MEM 164.101562 1642041724.1480
MEM 163.652344 1642041724.2581
MEM 163.652344 1642041724.3701
MEM 164.156250 1642041724.4821
MEM 167.507812 1642041724.5941
MEM 163.792969 1642041724.7061
MEM 163.753906 1642041724.8182
MEM 156.136719 1642041724.9302
MEM 23.093750 1642041725.0532
